RT_ID	HOST	PATTERN	DISPOSITION	ACTUAL_OR_PHASE
RT-PUB-001	HOST-PUBLIC	/	PRESENT_KEEP	/
RT-PUB-002	HOST-PUBLIC	/search	PRESENT_KEEP	/search
RT-PUB-003	HOST-PUBLIC	/pricing	PRESENT_KEEP	/pricing
RT-PUB-004	HOST-PUBLIC	/post	MISSING_BUILD	P04/P06/P08
RT-PUB-005	HOST-PUBLIC	/post/property	MISSING_BUILD	P04/P06/P08
RT-PUB-006	HOST-PUBLIC	/post/requirement	MISSING_BUILD	P04/P06/P08
RT-PUB-007	HOST-PUBLIC	/saved	PRESENT_MIGRATE	/dashboard/{role}/saved (consolidate)
RT-PUB-008	HOST-PUBLIC	/property/[propertySlugId]	PRESENT_KEEP	/property/[slug]
RT-PUB-009	HOST-PUBLIC	/project/[projectSlugId]	PRESENT_KEEP	/project/[slug]
RT-PUB-010	HOST-PUBLIC	/requirement/[requirementPublicId]	MISSING_BUILD	P04/P06/P08
RT-PUB-011	HOST-PUBLIC	/profile/owner/[profileSlugId]	PRESENT_MIGRATE	/owner/[id]
RT-PUB-012	HOST-PUBLIC	/profile/broker/[profileSlugId]	PRESENT_MIGRATE	/broker/[slug]
RT-PUB-013	HOST-PUBLIC	/profile/builder/[profileSlugId]	PRESENT_MIGRATE	/builder/[slug]
RT-SEO-001	HOST-PUBLIC	/properties/[citySlug]	MISSING_BUILD	P04(skeleton)/P13
RT-SEO-002	HOST-PUBLIC	/properties/[citySlug]/[purposeSlug]	MISSING_BUILD	P04(skeleton)/P13
RT-SEO-003	HOST-PUBLIC	/properties/[citySlug]/[purposeSlug]/[propertyTypeSlug]	MISSING_BUILD	P04(skeleton)/P13
RT-SEO-004	HOST-PUBLIC	/properties/[citySlug]/locality/[localitySlug]	MISSING_BUILD	P04(skeleton)/P13
RT-SEO-005	HOST-PUBLIC	/properties/[citySlug]/locality/[localitySlug]/[purposeSlug]	MISSING_BUILD	P04(skeleton)/P13
RT-SEO-006	HOST-PUBLIC	/projects/[citySlug]	MISSING_BUILD	P04(skeleton)/P13
RT-SEO-007	HOST-PUBLIC	/projects/[citySlug]/[propertyTypeSlug]	MISSING_BUILD	P04(skeleton)/P13
RT-SEO-008	HOST-PUBLIC	/locations/[locationSlugId]	MISSING_BUILD	P04(skeleton)/P13
RT-AUTH-001	HOST-PUBLIC	/login	PRESENT_KEEP	/login
RT-AUTH-002	HOST-PUBLIC	/register	MISSING_BUILD	P05
RT-AUTH-003	HOST-PUBLIC	/verify-otp	MISSING_BUILD	P05
RT-AUTH-004	HOST-PUBLIC	/auth/callback	PRESENT_KEEP	/auth/callback
RT-AUTH-005	HOST-PUBLIC	/auth/error	MISSING_BUILD	P05
RT-AUTH-006	HOST-PUBLIC	/logout	MISSING_BUILD	P05
RT-AUTH-007	HOST-PUBLIC	/session-expired	MISSING_BUILD	P05
RT-AUTH-008	HOST-PUBLIC	/onboarding	MISSING_BUILD	P05
RT-AUTH-009	HOST-PUBLIC	/invitation/accept	MISSING_BUILD	P05
RT-AUTH-010	HOST-PUBLIC	/account/change-mobile	MISSING_BUILD	P05
RT-CONTENT-001	HOST-PUBLIC	/about	MISSING_BUILD	P13
RT-CONTENT-002	HOST-PUBLIC	/contact	MISSING_BUILD	P13
RT-CONTENT-003	HOST-PUBLIC	/how-it-works	MISSING_BUILD	P13
RT-CONTENT-004	HOST-PUBLIC	/safety	MISSING_BUILD	P13
RT-CONTENT-005	HOST-PUBLIC	/verification	MISSING_BUILD	P13
RT-CONTENT-006	HOST-PUBLIC	/help	MISSING_BUILD	P13
RT-CONTENT-007	HOST-PUBLIC	/help/[articleSlugId]	MISSING_BUILD	P13
RT-CONTENT-008	HOST-PUBLIC	/blog	MISSING_BUILD	P13
RT-CONTENT-009	HOST-PUBLIC	/blog/[postSlugId]	MISSING_BUILD	P13
RT-CONTENT-010	HOST-PUBLIC	/blog/category/[categorySlugId]	MISSING_BUILD	P13
RT-CONTENT-011	HOST-PUBLIC	/blog/tag/[tagSlugId]	MISSING_BUILD	P13
RT-CONTENT-012	HOST-PUBLIC	/blog/author/[authorSlugId]	MISSING_BUILD	P13
RT-LEGAL-001	HOST-PUBLIC	/legal/terms	PRESENT_KEEP	/legal/terms
RT-LEGAL-002	HOST-PUBLIC	/legal/privacy	PRESENT_KEEP	/legal/privacy
RT-LEGAL-003	HOST-PUBLIC	/legal/cookies	MISSING_BUILD	P13
RT-LEGAL-004	HOST-PUBLIC	/legal/refunds	PRESENT_MIGRATE	/legal/refund (rename)
RT-LEGAL-005	HOST-PUBLIC	/legal/marketplace-disclaimer	MISSING_BUILD	P13
RT-LEGAL-006	HOST-PUBLIC	/legal/verification-disclaimer	MISSING_BUILD	P13
RT-LEGAL-007	HOST-PUBLIC	/legal/acceptable-use	MISSING_BUILD	P13
RT-LEGAL-008	HOST-PUBLIC	/legal/copyright	MISSING_BUILD	P13
RT-LEGAL-009	HOST-PUBLIC	/legal/grievance	MISSING_BUILD	P13
RT-LEGAL-010	HOST-PUBLIC	/legal/version/[policyType]/[versionId]	MISSING_BUILD	P13
RT-REPORT-001	HOST-PUBLIC	/report	MISSING_BUILD	P13
RT-REPORT-002	HOST-PUBLIC	/reports	MISSING_BUILD	P13
RT-REPORT-003	HOST-PUBLIC	/reports/[casePublicId]	MISSING_BUILD	P13
RT-SUPPORT-001	HOST-PUBLIC	/support	PRESENT_KEEP	/support
RT-SUPPORT-002	HOST-PUBLIC	/support/tickets	MISSING_BUILD	P13
RT-SUPPORT-003	HOST-PUBLIC	/support/tickets/[ticketPublicId]	MISSING_BUILD	P13
RT-SUPPORT-004	HOST-PUBLIC	/privacy/request	MISSING_BUILD	P13
RT-ACCOUNT-001	HOST-PUBLIC	/account	MISSING_BUILD	P09/P11
RT-ACCOUNT-002	HOST-PUBLIC	/account/profile	PRESENT_MIGRATE	/profile
